meadowID,area_ha
128086,3.27064
128087,4.24431
129001,0.27781
129002,0.87112
129003,3.2533
129004,1.8707
129005,2.0039
129006,2.37235
129007,2.68735
129008,5.04765
129009,10.51166
129010,2.00433
129013,4.46649
129015,3.01987
129017,3.52259
129018,1.97118
129019,3.8231
129020,2.02225
129022,4.40679
129023,4.16727
129024,3.75279
129025,3.0647
129026,5.62164
129027,2.68954
129028,27.76563
129029,1.03383
129030,3.96761
129032,3.7873
129033,3.72152
129034,1.90484
129035,2.5449
129036,0.40363
129039,1.37241
129040,3.70998
129041,1.30197
129042,2.32922
129043,3.19899
129044,2.68145
129045,2.90609
129047,6.18299
129048,2.91811
129050,3.94148
129051,7.73306
129052,2.24636
129053,3.36232
129054,2.46006
129055,2.66498
129056,1.60167
129057,2.81974
129058,2.40794
129059,3.73245
129060,2.69979
129061,2.75421
129062,2.3763
129063,12.533
129064,7.63194
129065,3.20326
129066,1.57952
